SensorName	Paper Name	Relevance	Authors	University / Lab	Publication Year	Publication Venue	Link	Cited	Bibtex	Technology	Sensor Type Introduced	Comercial?	Geometry	No. Sensors	Rubber (if applicable)	Chip	Additional Notes	22
	Minsight: a fingertip-sized vision-based tactile sensor for robotic manipulation		Iris Andrussow* Huanbo Sun Katherine J. Kuchenbecker Georg Martius*		2023		https://arxiv.org/abs/2304.10990	FALSE	@article{andrussow2023minsight,   title={Minsight: A Fingertip-Sized Vision-Based Tactile Sensor for Robotic Manipulation},   author={Andrussow, Iris and Sun, Huanbo and Kuchenbecker, Katherine J and Martius, Georg},   journal={Advanced Intelligent Systems},   volume={5},   number={8},   pages={2300042},   year={2023},   publisher={Wiley Online Library} }	Visual	Visual	FALSE						
	Multimodal Barometric and Inertial Measurement Unit-Based Tactile Sensor for Robot Control	6	Gorkem Anil Al; Uriel Martinez-Hernandez		2023		https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=barometric%20tactile%20sensing&highlight=true&returnFacets=ALL&returnType=SEARCH&matchPubs=true&sortType=newest#:~:text=Multimodal%20Barometric%20and%20Inertial%20Measurement%20Unit%2DBased%20Tactile%20Sensor%20for%20Robot%20Control	FALSE	@article{al2022multimodal, title={Multimodal barometric and inertial measurement unit-based tactile sensor for robot control}, author={Al, Gorkem Anil and Martinez-Hernandez, Uriel}, journal={IEEE Sensors Journal}, volume={23}, number={3}, pages={1962--1971}, year={2022}, publisher={IEEE} }	Barometric	Barometric	FALSE	Flat wtih imu, CNN based architecture		Ecoflex 00-30, also tested Vytaflex 20	ICM-20789	Uses CNN for regression, combines gyro, accel, and pressure	1
	Design of a Multimodal Fingertip Sensor for Dynamic Manipulation	8	Andrew SaLoutos, Elijah Stanger-Jones, Menglong Guo, Hongmin Kim, Sangbae Kim	Sangbae	2023	ICRA	https://arxiv.org/abs/2209.11368	FALSE	@inproceedings{saloutos2023design,   title={Design of a multimodal fingertip sensor for dynamic manipulation},   author={SaLoutos, Andrew and Stanger-Jones, Elijah and Guo, Menglong and Kim, Hongmin and Kim, Sangbae},   booktitle={2023 IEEE International Conference on Robotics and Automation (ICRA)},   pages={8017--8024},   year={2023},   organization={IEEE} }	Barometric	Barometric	FALSE						1
	Modified Nonlinear Hysteresis Approach for a Tactile Sensor	2	Gasak Abdul-Hussain *, William Holderbaum, Theodoros Theodoridis and Guowu Wei		2023	Sensors	https://www.mdpi.com/1424-8220/23/16/7293#B12-sensors-23-07293	FALSE			No New Sensor	FALSE					Kinda sus paper, They talk about a "Backpropagating NN" --> This seems identical to a normal nn	
	Evaluating the Viscoelastic Behavior of Elastomers Using a Piezoelectric Tactile Sensor and an Optimization Approach	3	Abdallah M. Elsahy; Victor Parque; Abdelhady M. Esmaeel; Mohsen A. Hassan; Ahmed M. R. Fath El-Bab		2023	2023 62nd Annual Conference of the Society of Instrument and Control Engineers (SICE)	https://ieeexplore.ieee.org/document/10354226	FALSE			No New Sensor	FALSE					How to charactarize hysteresis in viscoelastic materials	
ReSkin	ReSkin: versatile, replaceable, lasting tactile skins		Raunaq Bhirangi∗, Tess Hellebrekers∗, Carmel Majidi, Abhinav Gupta		2022	CoRL	https://arxiv.org/pdf/2111.00071	FALSE	@inproceedings{bhirangi2021reskin,   title={Reskin: versatile, replaceable, lasting tactile skins},   author={Bhirangi, Raunaq and Hellebrekers, Tess and Majidi, Carmel and Gupta, Abhinav},   booktitle={5th Annual Conference on Robot Learning},   year={2021} }	Magnetic	Magnetic	TRUE						
BaroTac	BaroTac: Barometric Three-Axis Tactile Sensor with Slip Detection Capability		Gyuwon Kim, Donghyun Hwang 		2022	Sensors	https://www.mdpi.com/1424-8220/23/1/428	TRUE	@article{kim2022barotac, title={BaroTac: Barometric three-axis tactile sensor with slip detection capability}, author={Kim, Gyuwon and Hwang, Donghyun}, journal={Sensors}, volume={23}, number={1}, pages={428}, year={2022}, publisher={MDPI} }	Barometric	Barometric	FALSE	Dome shaped but three pressure sensors	3	VytaFlex 20	BMP 384	Their plastic part "prevents stimuli coming from unexpected directions."  The structure of the paper is really nice, there is some motivation, clear analysis of materials, actual design, analysis, then applications.	1
PapillArray	In-Hand Gravitational Pivoting Using Tactile Sensing	8	Jason Toskov, Rhys Newbury, Mustafa Mukadam, Dana Kulić, Akansel Cosgun		2022		https://arxiv.org/abs/2210.05068	FALSE		Visual	No New Sensor	TRUE	PapillArray				Uses a LSTM model to estimate object pose	
---	A Soft Barometric Tactile Sensor to Simultaneously Localize Contact and Estimate Normal Force With Validation to Detect Slip in a Robotic Gripper		Thomas De Clercq; Anatolii Sianov; Guillaume Crevecoeur		2022	RAL	https://ieeexplore.ieee.org/document/9887876	FALSE	@article{de2022soft,   title={A soft barometric tactile sensor to simultaneously localize contact and estimate normal force with validation to detect slip in a robotic gripper},   author={De Clercq, Thomas and Sianov, Anatolii and Crevecoeur, Guillaume},   journal={IEEE Robotics and Automation Letters},   volume={7},   number={4},   pages={11767--11774},   year={2022},   publisher={IEEE} }	Barometric	Barometric	FALSE						1
Takktile	Learning to Detect Slip with Barometric Tactile Sensors and a Temporal Convolutional Neural Network		Abhinav Grover∗, Philippe Nadeau∗, Christopher Grebe, and Jonathan Kelly		2022	ICRA	https://arxiv.org/pdf/2202.09549	FALSE	@inproceedings{grover2022learning,   title={Learning to detect slip with barometric tactile sensors and a temporal convolutional neural network},   author={Grover, Abhinav and Nadeau, Philippe and Grebe, Christopher and Kelly, Jonathan},   booktitle={2022 International Conference on Robotics and Automation (ICRA)},   pages={570--576},   year={2022},   organization={IEEE} }	Barometric	No New Sensor	FALSE	TakkTile (3x2 array)	6			Slip detection	
	A Highly Adaptive Robotic Gripper Palm with Tactile Sensing	1	Yunquan Li; Ren Tao; Yingtian Li; Yang Yang; Jianshu Zhou; Yonghua Chen		2022		https://ieeexplore.ieee.org/document/9872269/	FALSE	@inproceedings{li2022highly,   title={A highly adaptive robotic gripper palm with tactile sensing},   author={Li, Yunquan and Tao, Ren and Li, Yingtian and Yang, Yang and Zhou, Jianshu and Chen, Yonghua},   booktitle={2022 IEEE International Conference on Real-time Computing and Robotics (RCAR)},   pages={130--135},   year={2022},   organization={IEEE} }	Misc	Misc	FALSE	Gripper...					
	Fast Reflexive Grasping with a Proprioceptive Teleoperation Platform		Andrew SaLoutos, Elijah Stanger-Jones, Sangbae Kim	Sangbae	2022	IROS	https://arxiv.org/abs/2208.04487	FALSE	@inproceedings{saloutos2022fast,   title={Fast reflexive grasping with a proprioceptive teleoperation platform},   author={SaLoutos, Andrew and Stanger--Jones, Elijah and Kim, Sangbae},   booktitle={2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},   pages={6213--6220},   year={2022},   organization={IEEE} }	Barometric	No New Sensor	FALSE						
Takktile	Learning to Detect Slip with Barometric Tactile Sensors and a Temporal Convolutional Neural Network	6	Abhinav Grover; Philippe Nadeau; Christopher Grebe; Jonathan Kelly		2022	ICRA	https://ieeexplore.ieee.org/abstract/document/9811592	FALSE	@inproceedings{grover2022learning,   title={Learning to detect slip with barometric tactile sensors and a temporal convolutional neural network},   author={Grover, Abhinav and Nadeau, Philippe and Grebe, Christopher and Kelly, Jonathan},   booktitle={2022 International Conference on Robotics and Automation (ICRA)},   pages={570--576},   year={2022},   organization={IEEE} }	Barometric	No New Sensor	FALSE					TCN for slip detection	
	Design and Characterisation of a Soft Barometric Sensing Skin for Robotic Manipulation	2	Kieran Gilday, Louis Relandeau and Fumiya Iida		2022	IROS	https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=barometric%20tactile%20sensing&highlight=true&returnFacets=ALL&returnType=SEARCH&matchPubs=true&sortType=newest#:~:text=Design%20and%20Characterisation%20of%20a%20Soft%20Barometric%20Sensing%20Skin%20for%20Robotic%20Manipulation	FALSE	@inproceedings{gilday2022design,   title={Design and characterisation of a soft barometric sensing skin for robotic manipulation},   author={Gilday, Kieran and Relandeau, Louis and Iida, Fumiya},   booktitle={2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},   pages={10021--10028},   year={2022},   organization={IEEE} }	Misc	Misc	FALSE	Tubes					
	Multimodal Proximity and Visuotactile Sensing With a Selectively Transmissive Soft Membrane	5	Jessica Yin; Gregory M. Campbell; James Pikul; Mark Yim		2022	RoboSoft	https://ieeexplore.ieee.org/document/9762091/	FALSE	@inproceedings{yin2022multimodal,   title={Multimodal proximity and visuotactile sensing with a selectively transmissive soft membrane},   author={Yin, Jessica and Campbell, Gregory M and Pikul, James and Yim, Mark},   booktitle={2022 IEEE 5th International Conference on Soft Robotics (RoboSoft)},   pages={802--808},   year={2022},   organization={IEEE} }	Visual	No New Sensor	FALSE						
	Sensor Embedded Soft Fingertip for Precise Manipulation and Softness Recognition		Xiaolong Ma; Yangqing Ye; Hailiang Meng; Wenbiao Wang; Weidong Wang; Guanjun Bao		2021	RAL	https://ieeexplore.ieee.org/document/9551708	FALSE		Misc	Misc	FALSE						
TacTip	Soft Biomimetic Optical Tactile Sensing with the TacTip: A Review		Nathan F. Lepora		2021		https://arxiv.org/pdf/2105.14455	FALSE		Visual	Visual	FALSE						
Review	A Review of Tactile Information: Perception and Action Through Touch	8	Qiang Li, Oliver Kroemer, Zhe Su, Filipe Veiga, Mohsen Kaboli, IEEE Senior, and Helge Ritter		2021	T-RO	https://www.ri.cmu.edu/app/uploads/2021/08/LiTRo2020.pdf	FALSE		Multiple	No New Sensor	FALSE						
Takktile	Learning to Detect Slip Using Barometric Tactile Sensors	6	Abhinav Grover		2021	Thesis	https://www.proquest.com/docview/2610934840?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses	FALSE		Barometric	No New Sensor	FALSE					Detecting slip using RNN	
	Design and Prototyping Soft Fingers for a Hand Prosthesis with the Aim of Predicting the Gripping Force Using LSTM	4	Atusa Ghorbani Siavashani; Aghil Yousefi-Koma; Amirhosein Vedadi		2021	ICROM	https://ieeexplore.ieee.org/abstract/document/9663517	FALSE		Misc	Misc	FALSE					sensors for prosthesis with lstm	
	Recurrent-Neural-Network-Based Rate-Dependent Hysteresis Modeling and Feedforward Torque Control of the Magnetorheological Clutch	2	Guangzeng Chen; Yunjiang Lou		2021	IEEE/ASME Transactions on Mechatronics	https://ieeexplore.ieee.org/document/9607018	FALSE		Misc	Misc	FALSE					Modeling hysteresis of a clutch with RNN (application of RNN to hysteresis,just not sensor)	
	Bi-Modal Hemispherical Sensors for Dynamic Locomotion and Manipulation	8	Lindsay Epstein; Andrew SaLoutos; Donghyun Kim; Sangbae Kim	Sangbae	2020	IROS	https://ieeexplore.ieee.org/abstract/document/9341543	FALSE	@inproceedings{epstein2020bi,   title={Bi-modal hemispherical sensors for dynamic locomotion and manipulation},   author={Epstein, Lindsay and SaLoutos, Andrew and Kim, Donghyun and Kim, Sangbae},   booktitle={2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},   pages={7381--7381},   year={2020},   organization={IEEE} }	Barometric	Barometric	FALSE				BMP388, MPXH6400A	We inherit a large amount from this sensor	1
	Dynamically Reconfigurable Tactile Sensor for Robotic Manipulation		Tae Myung Huh , Hojung Choi, Simone Willcox, Stephanie Moon, and Mark R. Cutkosky	Cutkosky	2020		https://ieeexplore.ieee.org/document/8990001	FALSE	@article{huh2020dynamically,   title={Dynamically reconfigurable tactile sensor for robotic manipulation},   author={Huh, Tae Myung and Choi, Hojung and Willcox, Simone and Moon, Stephanie and Cutkosky, Mark R},   journal={IEEE Robotics and Automation Letters},   volume={5},   number={2},   pages={2562--2569},   year={2020},   publisher={IEEE} }	Capacitive	Capacitive	FALSE						
Digit 	DIGIT: A Novel Design for a Low-Cost Compact High-Resolution Tactile Sensor with Application to In-Hand Manipulation	4	Mike Lambeta, Po-Wei Chou, Stephen Tian, Brian Yang, Benjamin Maloon, Victoria Rose Most, Dave Stroud, Raymond Santos, Ahmad Byagowi, Gregg Kammerer, Dinesh Jayaraman, Roberto Calandra		2020		https://arxiv.org/abs/2005.14679	FALSE	@article{lambeta2020digit,   title={Digit: A novel design for a low-cost compact high-resolution tactile sensor with application to in-hand manipulation},   author={Lambeta, Mike and Chou, Po-Wei and Tian, Stephen and Yang, Brian and Maloon, Benjamin and Most, Victoria Rose and Stroud, Dave and Santos, Raymond and Byagowi, Ahmad and Kammerer, Gregg and others},   journal={IEEE Robotics and Automation Letters},   volume={5},   number={3},   pages={3838--3845},   year={2020},   publisher={IEEE} }	Visual	Visual	TRUE						
	Barometer-based Tactile Skin for Anthropomorphic Robot Hand	10	Risto Kõiva; Tobias Schwank; Guillaume Walck; Martin Meier; Robert Haschke; Helge Ritter		2020	IROS	https://ieeexplore.ieee.org/document/9341691	FALSE	@inproceedings{koiva2020barometer,   title={Barometer-based tactile skin for anthropomorphic robot hand},   author={K{\~o}iva, Risto and Schwank, Tobias and Walck, Guillaume and Meier, Martin and Haschke, Robert and Ritter, Helge},   booktitle={2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},   pages={9821--9826},   year={2020},   organization={IEEE} }	Barometric	Barometric	FALSE			Silicone (SF13)	BMP388	They drilled out the cap then reinstalled it...  They also argue that the hysteresis is caused by the air bubble	1
takktile	Self-supervised learning of object slippage: An LSTM model trained on low-cost tactile sensors	6	Ainur Begalinova; Ross D. King; Barry Lennox; Riza Batista-Navarro		2020	IRC	https://ieeexplore.ieee.org/abstract/document/9287944	FALSE		Barometric	No New Sensor	FALSE					LSTM Slip detection	
	Recent progress in tactile sensing and sensors for robotic manipulation: can we turn tactile sensing into vision?	6	Akihiko Yamaguchi and Christopher G. Atkeson	Christopher G. Atkeson	2019	Advanced Robotics	https://www.tandfonline.com/doi/epub/10.1080/01691864.2019.1632222?needAccess=true	FALSE	@article{yamaguchi2019recent,   title={Recent progress in tactile sensing and sensors for robotic manipulation: can we turn tactile sensing into vision?},   author={Yamaguchi, Akihiko and Atkeson, Christopher G},   journal={Advanced Robotics},   volume={33},   number={14},   pages={661--673},   year={2019},   publisher={Taylor \& Francis} }	Multiple	No New Sensor	FALSE						
	High-Speed High-Precision Proximity Sensor for Detection of Tilt, Distance, and Contact		Keisuke Koyama , Makoto Shimojo, Taku Senoo , and Masatoshi Ishikawa		2018			FALSE		Magic	Magic	FALSE					analog system	
	prosthetic manipulation – design and prototype validation	2	Heba Khamis a,∗, Raquel Izquierdo Albero a,b , Matteo Salerno a,c , Ahmad Shah Idil a , Andrew Loizou a , Stephen J. Redmond a		2018	Sensors and Actuators	https://pdf.sciencedirectassets.com/271352/1-s2.0-S0924424717X00162/1-s2.0-S0924424717313419/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjECkaCXVzLWVhc3QtMSJGMEQCICq3Mq0ps6c%2BlThh9Zvr8K7Baf7t%2B26Hn9kVkbWrWsV9AiBNIskhLQ0JWSz0gBA23MAxMYAlCrq92kVValgYRldJZSqzBQghEAUaDDA1OTAwMzU0Njg2NSIMEBXPXqDOUvCINRh0KpAFC%2BJ2yUiJxm3NNhqL4uNL8FtYj63PaFiaJ%2FzGQasDe1pNBHq5mAgrvIxB3Km3UtJ3%2Fv%2FkuV87Wk7zdjsYL%2BezOuFirNWOGPZW3np4n%2BJoy6Sf3Y%2FFlFTxeAALjNFvAfX%2B%2FKdCBLiUIoZTdWraUN2NGK8VfOSQ4ZLTppyHaVHpUrXSSN1J6w9LyX3tcHvouNgsrsz2qZakkrSWWq7m0JiaYLHZcTpsPGK043VXol%2F71Y6t2phxCGpBk0y1BEcA1sr6sstISqO%2BAyFdvCATJoPTw8xSQQFdly9mJzhAIUbXfHZps9cy46PHf5ecXg2FTQ9ZeR3meuORzYGSwqHW0hh69STxppbkaL2QfY2N5IZ4eaiIJJYUUXa%2BxA38Qy3SinwiTAZSPGojk1rC36pnLW7Io7bqqH18Ze0qqoth1iVzsAFfZxC9MXVD%2F0nQKuDnD3My%2FaQNDgMMbGuThsliHQlMSS1LnsoiD66bmHIKoDh2zI%2FKroQXAk637ibd1dRYfjEsUHtfX28FUQmfgcnk0BkMRJ0fDnL0R%2B03z3b5IBMQivnHDLz4tZRDuUc4JvFj97inZB6EbGs%2FgZ8YD0eM%2FggqknG6Eq52BQeKWzbGX7LoiDQwEkFDPXTZss0mA918R3GA9SAXBiCZzCTI1gH1Qc1v7HjmZK%2BZLxFBMPk%2Bw9MvCof8LTOJujIzai2hnXV473%2FiwOiY966%2BeDlUQVYqXu%2FJzl40GFKZnEKd93c1DQGSFQpFYB%2BMf9oDLTa7QZ9UTpwMTjz7pU5Lu%2FNwfKWnjGL5TV1Ex3ThWdXxedUsYVJXb8AbuCxh2mmNjKlq1LeE1yq%2FQ3OVSqBl%2BTD57nNARARr0PECDRSiF5v1ecKr5pp6DSsw6%2FibvAY6sgFnYSsd%2BMNYSjFO0m5XbVllYa6B5M3zSUX1iJQkI8MGmcmJ5HzInkV1wqxI6MIOpMdBv0ChaulkdXdRFbwN6NS%2BJu7nFA%2Bq6n2R0F9Itv8%2BTrJkKnLZMTopm70rUSQ0ZNWcaD95MED7%2FM2nAqPX0CNrYRAgPvAqhVJA%2BiA2mRTSbEUDs0LjLENVAXwWCghcJIlGftKj%2BBI5QZbVfBf1jIlHG3nh%2Bqc4TmF%2FjsfuBNcew6DF&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250115T010225Z&X-Amz-SignedHeaders=host&X-Amz-Expires=299&X-Amz-Credential=ASIAQ3PHCVTYXBF7H7HM%2F20250115%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=5170dd417c93b627494d9330a0ddd4b745ae8b1ab4e1e4b8be8bdbf6a42f23ab&hash=bf43f6a74fbe10b85d87d676389adb6e71731c705e88a4c3cb1e2f1ab837c5f7&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0924424717313419&tid=spdf-6b10d88a-7176-4191-9754-abda0e0e9893&sid=9c25c2be87abb94cb859b748230f658dd0a1gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=13155c5f5c5402560754&rr=9021f0b098709062&cc=us&kca=eyJrZXkiOiJpQ3BKeUlZRlF2RXlpU0FZMkF4b1dzN0ZQZnVVRnVYV0Y3Yk5PN2pMckdkT3k4bzFuRHMzRndnS3BrYks2NjBQN3NWMW1WMGRueWxqL0gxM2JxNndnSkZlNm9nWUJTdmVFNWVtZWNwZWhHWlNyUm5zTzh6cEVQb0s4MlVhNXJvUlJ0MGJPRUNUNTQxK2UvbE9NMHJmMTNROUlRWFBWRDZkRGJlUlg1Z1hRT200TFE9PSIsIml2IjoiODcxMWI1M2I1YTM4ZmJiMzM1MTY3NGI3NjJjOTI0ODIifQ==_1736902949538	FALSE	@article{khamis2018papillarray,   title={PapillArray: An incipient slip sensor for dexterous robotic or prosthetic manipulation--design and prototype validation},   author={Khamis, Heba and Albero, Raquel Izquierdo and Salerno, Matteo and Idil, Ahmad Shah and Loizou, Andrew and Redmond, Stephen J},   journal={Sensors and Actuators A: Physical},   volume={270},   pages={195--204},   year={2018},   publisher={Elsevier} }	Visual	Visual	FALSE						
	Towards a Soft Fingertip with Integrated Sensing and Actuation				2018		https://ieeexplore.ieee.org/document/8594032/	FALSE		Visual	Visual	FALSE						
	Bi-Modal Hemispherical Sensor: A Unifying Solution for Three Axis Force and Contact Angle Measurement	6	Meng Yee Michael Chuah; Lindsay Epstein; Donghyun Kim; Juan Romero; Sangbae Kim	Sangbae	2019	IROS	https://ieeexplore.ieee.org/abstract/document/8967878	FALSE	@inproceedings{chuah2019bi,   title={Bi-modal hemispherical sensor: A unifying solution for three axis force and contact angle measurement},   author={Chuah, Meng Yee Michael and Epstein, Lindsay and Kim, Donghyun and Romero, Juan and Kim, Sangbae},   booktitle={2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},   pages={7968--7975},   year={2019},   organization={IEEE} }	Barometric	Barometric	FALSE						
	Data-Driven Super-Resolution on a Tactile Dome	8	Pedro Piacenza; Sydney Sherman; Matei Ciocarlie	Columbia	2018	RAL	https://ieeexplore.ieee.org/document/8276589	FALSE	@article{piacenza2018data,   title={Data-driven super-resolution on a tactile dome},   author={Piacenza, Pedro and Sherman, Sydney and Ciocarlie, Matei},   journal={IEEE Robotics and Automation Letters},   volume={3},   number={3},   pages={1434--1441},   year={2018},   publisher={IEEE} }	Barometric	Barometric	FALSE	Dome	5	Vytaflex 20	Takktile pressure ensors	Similar to our old sensors, talks a lot about promoting cross talk to enable superresolution.	1
Fignervision	FingerVision Tactile Sensor Design and Slip Detection Using Convolutional LSTM Network	5	Yazhan Zhang, Zicheng Kan, Yu Alexander Tse, Yang Yang, Michael Yu Wang		2018	Arxiv	https://www.fingervision.jp/en, https://arxiv.org/pdf/1810.02653	FALSE	@article{zhang2018fingervision,   title={Fingervision tactile sensor design and slip detection using convolutional lstm network},   author={Zhang, Yazhan and Kan, Zicheng and Tse, Yu Alexander and Yang, Yang and Wang, Michael Yu},   journal={arXiv preprint arXiv:1810.02653},   year={2018} }	Visual	Visual	TRUE					Transparent visual tactile	
